Company Name,URL,Reason,Source
"Specialty Manufacturers, Inc",http://www.spcmfg.com,Reject — High-volume injection molder,AMBA
"Michiana Global Mold, Inc.",http://www.mgmold.net,Reject — Owned by private equity,AMBA
Artiflex Manufacturing,http://www.gendie.com,Reject — High-volume injection molder,AMBA
Clarion,http://www.conceptmolds.com,Reject — High-volume injection molder,AMBA
SyBridge Technologies,http://www.actionmold.net,Reject — Multinational; HQ outside U.S./Canada,AMBA
"Superior Tooling, Inc.",http://www.sti-nc.com,Reject — Owned by private equity,AMBA
Natech Plastics,http://www.thalprecision.com,Reject — Multinational; HQ outside U.S./Canada,AMBA
Atalys,http://www.atalys.com,Reject — Too large (>$80M revenues),AMBA
Sustainable & Innovative Packaging | One BMG,http://www.freemancompany.com,Reject — High-volume plastic molder,AMBA
PRISM Plastics,http://www.prismplastics.com/meadville,Reject — High-volume plastic molder,AMBA
Triangle Tool LLC,http://www.triangletoolcorp.com,Reject — Too large (>$80M revenues),AMBA
Boutiques Badie et L’Intendant Bordeaux,https://www.badie.com,Reject — Not moldmaking/tool & die,indeed
"Accu-Mold, LLC",https://www.accu-moldinc.com,Reject — Owned by private equity,indeed
"Dynamic Dies, Inc.",https://www.dynamicdies.com,Reject — Not moldmaking/tool & die,LinkedIn