Company Name,Target Status,Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Notes (Approach/ Contacts/Info)
"Turning Point Tool, LLC",CY,http://www.turningpointtool.com,turningpointtool.com,AMBA,135 Dodge Street,Rochester,NY,14606,(585) 288-7380,Aerospace; automotive; medical; optical; consumer products,Production & prototype injection molds; multi-cavity/family/2-shot/hot runner; CNC machining; wire & sinker EDM; fixtures; short-run machining; custom high-precision parts; ITAR certified,,,,19,,,Yes,,Yes,,,
BMG (Brown Machine Group / Freeman Company),CY,http://www.freemancompany.com,freemancompany.com,AMBA,330 N. Ross Street,Beaverton,MI,48612,(989) 435-7741,Food & beverage; consumer products; medical packaging; horticulture; industrial & e-commerce,"Thermoforming equipment & tooling; end-to-end automation; packaging solutions; high-speed robotic stacking/handling; turnkey process solutions; 140+ patents; 7,000+ thermoformers built",,,,70+,,,Yes,Yes,Yes,,,
Colonial Machine,CY,http://www.colonial-machine.com,colonial-machine.com,AMBA,5859 Mogadore Road,Kent,OH,44240,(330) 673-5859,Housewares; appliances; food handling; packaging; electrical & gas fittings; material handling,"Custom mold manufacturing; injection, blow & compression molds; CNC machining/milling/turning; EDM; grinding; CMM inspection & metrology; ISO 9001 certified",,,,70+,,,Yes,,Yes,,,
"Cosar Mold, Inc.",CY,http://www.cosarmold.com,cosarmold.com,AMBA,PO Box 159,Kent,OH,44240,(330) 673-9510,Plastic injection; rubber; blow molds; die-cast,"Mold repairs & revisions; preventive maintenance; on-site repairs; welding; fitting; polishing; EDM; CNC machining; grinding; texture repair; plating; engraving; complex repairs up to 50,000 lbs; 15,000 sq ft facility",15000,,,40+,Family-founded (Steve & Al Rastetter),,Yes,,Yes,Yes,,
"Eagle Mold Co., Inc.",CY,http://www.eaglemoldcompany.com,eaglemoldcompany.com,AMBA,1 Eagle Ct,Carlisle,OH,45005,(937) 746-3331,Aerospace; automotive; medical; appliances; electronics,"Plastic injection molds; 5-axis high-speed CNC milling; wire & sinker EDM; ceramic core & wax pattern dies; graphite electrode machining; reverse engineering & CAD modeling; two facilities totaling 58,500 sq ft; ISO 9001:2015",58500,,,40+,,,Yes,Yes,Yes,,,
The Minco Group (Minco Tool & Mold + ASPM),CY,http://www.mincogroup.com,mincogroup.com,AMBA,5690 Webster Street,Dayton,OH,45414,(937) 890-7905,Automotive; appliances; consumer; aerospace; defense; medical,"Mold design & manufacturing (multi-axis, high-speed, gun drilling, Moldflow); product qualification; injection molding (two-shot, insert, sequential gate, gas/vac assist, thin-wall, long glass fiber); secondary ops (welding, staking, pad printing, CNC); 202,000 sq ft molding facility with 90+ presses (55–1100T); ISO 9001:2015; ITAR; IATF 16949",202000,,,71,,,Yes,Yes,Yes,,,
Penco Tool LLC,CY,http://www.pencotool.com,pencotool.com,AMBA,13760 Main Street,Bath,MI,48808,(440) 998-1116,Automotive; aerospace; consumer; industrial,Compression molds (preform & SMC fiberglass); thermoplastic injection molds; design & engineering support; ISO 9001 certified,,,,,Owner: Steven Pendleton,,Yes,,Yes,,,
"Pleasant Precision, Inc. (PPI)",CY,http://www.pleasantprecision.com,pleasantprecision.com,AMBA,501 West Vine Street,Kenton,OH,43326,(800) 860-3974,Medical; automotive; industrial automation; filtration; commercial fans,"Contract manufacturing (DFM, tooling, molding, assembly/welding/pad printing/kitting); injection molding (55–400T, cleanroom); mold making; extrusion (medical tubing, Class 100,000); Round Mate® interchangeable insert system; IATF 16949:2016",,,,46+,,,Yes,,Yes,,,
"Tetra Mold & Tool, Inc.",CY,http://www.tetramold.com,tetramold.com,AMBA,301 West Main Street,Saegertown,PA,16443,(814) 763-3211,Automotive; appliances; electronics; medical; industrial,"Precision mold building & injection molding; mold repair (thermosets/thermoplastics); insert & over-molding; prototyping (3D printing, CNC, prototype molding); presses 35–500T; SPC/continuous improvement; IATF certified",,,,,,,Yes,,Yes,,,
TJAR Innovations LLC,CY,http://www.tjarinnovations.com,tjarinnovations.com,AMBA,1004 Cincinnati Ave,Xenia,OH,45385,(937) 347-1999,Defense; consumer; industrial; automotive,"Custom mold building (SolidWorks, Mastercam, CNC); injection molding (35–375T, low?high volume); rapid molding (3D printed tooling); production molding & assemblies; turnkey design?package; ISO quality systems; family-owned",,,,,Family-owned,,Yes,,Yes,Yes,,
"Buss Precision Mold, Inc.",CY,http://www.bussmold.com,bussmold.com,AMBA,13581 SE Ambler Road,Clackamas,OR,97015,(503) 652-5804,Medical; industrial; aerospace & defense; transportation; electronics; consumer products,"Mold design (complex parting lines, undercuts, unscrewing, conformal cooling); plastic injection mold building (24/7 lights-out); EDM; high-speed CNC; laser welding/engraving; project management; mold testing & qualification (FAI, pre-production); SPI Class 101–105; repair & refurbishment; ITAR compliant",,,,36+,,,Yes,Yes,Yes,,,
"Crescent Industries, Inc.",CY,http://www.crescentind.com,crescentind.com,AMBA,70 East High Street,New Freedom,PA,17349,(717) 928-8291,Medical & pharmaceutical (Class I–III); military & defense; industrial/OEM,Mold design & DFM; custom injection molding (11–450T); ISO 7 cleanroom; assembly/kitting/welding/pad printing; automation & cobots; tooling & repair; ISO 13485; ITAR; FDA registered; family- & employee-owned,,,,79,Family- & employee-owned,,Yes,,Yes,Yes,,
PRISM Plastics (Meadville Plant),CN,http://www.prismplastics.com/meadville,prismplastics.com,AMBA,1045 French Street,Meadville,PA,16335,(810) 292-6300,Automotive; industrial; consumer; medical,"Precision injection molding; tight tolerance parts; multi-site operations (MI, PA, TX, MX)",,,,,,,Yes,,,,,
"Quality Mold, Inc.",CY,http://www.qualitymolderie.com,qualitymolderie.com,AMBA,8130 Hawthorne Drive,Erie,PA,16509,(814) 866-2255,Medical; automotive; consumer,"Prototype to high-cavitation production molds; design (servo & hydraulic unscrewing; two-shot; stack; core pulls); manufacturing & inspection (CMM, Zeiss Contura G2); prototyping & optional sampling via Quality Plastics; Class 101 tooling; ISO 9001:2015; family-owned (Tom & Barb Hakel)",16000,,,40,Family-owned,,Yes,Yes,Yes,Yes,,
"Adler Rapid Mold (Rapid Mold Solutions, Inc.)",CY,http://www.rapidmoldsolutions.com,rapidmoldsolutions.com,AMBA,1008 SE Browning St,Lee's Summit,MO,64081,(415) 329-6877,Automotive; industrial; medical devices; consumer products,"Full-service injection mold manufacturer; 61,000 sq ft facility; fast turnaround prototypes & repairs; Product Solutions Lab for sampling, validation & process optimization; tool design & PM; short/medium production runs",61000,,,,,,Yes,,Yes,,,
Tessy Tooling,CY,https://www.tessytooling.com,tessytooling.com,AMBA,2113 E 30th Street,Erie,PA,16510,(814) 838-9777,Medical devices; pharmaceutical packaging & diagnostics; consumer & consumer healthcare,Engineering & mold design; manufacturing; quality assurance; lifecycle management; continuous improvement; continuation of Tessy Plastics’ family legacy,,,,,Family-owned legacy,,Yes,,,Yes,,
JMMS Die & Mold,CY,http://www.jmmsinc.com,jmmsinc.com,AMBA,807 Sheffield Road,Easley,SC,29642,(864) 855-0450,Appliances; automotive; consumer products; electronics; lawn & garden; medical tech; power generation; power tools; returnable packaging,"Design/engineering/manufacturing; thermoplastic injection molds; zinc & aluminum die casting tooling; RIM; hybrid tooling; preventive maintenance, repairs & mods; cycle-time reduction & interchangeable inserts",,,,,,,Yes,,Yes,,,
MSI Mold Builders,C?,http://www.msimoldbuilders.com,msimoldbuilders.com,AMBA,12300 6th St SW,Cedar Rapids,IA,52404,(319) 848-7001,Automotive; power sports; agriculture; lawn & garden; medical equipment; heavy truck; material handling; RV; construction; office furniture,Steel & aluminum injection molds; structural foam; gas assist; blow; structural web; aluminum for limited runs; design/build/repair; proactive comms,,,,54,,,Yes,Yes,Yes,,,
United Tool & Mold Inc. (UTM),CY,http://www.utminc.com,utminc.com,AMBA,106 Financial Blvd.,Liberty,SC,29657,(864) 859-8300,Injection & blow molding industry,"Engineering changes; preventive maintenance; injection & blow mold repairs; laser welding & engraving; fluidized bed cleaning; on-site press repair; new tool build support; 60,000 sq ft HQ; cranes to 55 metric tons; AL facility up to 60,000 lbs; 24/7 emergency support",60000,,,30,,,Yes,,Yes,,,
Prairie Tool Company,CY,http://www.prairietool.net,prairietool.net,AMBA,723 Commerce St.,Aberdeen,SD,57401,(605) 225-4028,Medical; consumer products; lawn & garden; agriculture; electronics; appliances,"Mold design & prototyping; production molds (steel, aluminum, stainless, MoldMAX, Ampco); multi-cavity, family, unscrewing; interchangeable cores/cavities; graphite electrode machining; 4-axis wire EDM; plunge EDM; 5-axis CNC; assembly & value-add",12000,,,36,,,Yes,Yes,Yes,,,
"Integrity Tennessee, Inc.",CY,http://www.integritytn.com,integritytn.com,AMBA,2071 Elkton Pike,Pulaski,TN,38478,(931) 207-8334,Automotive; consumer; industrial; Tier 2/3 support,Feasibility & product design; mold flow & design; injection mold manufacturing; repairs & engineering changes; tool launch & validation; transportation support; custom machining,,,,,Service-centric,,Yes,,Yes,,,
Moldesign,CY,http://www.moldesign.com,moldesign.com,AMBA,4720 Middlebrook Pike,Knoxville,TN,37921,(865) 588-3774,Consumer; horticulture (Greenstalk Vertical Garden),Mold design & build; product launch assistance; hours Mon–Fri 8–5; creator of Greenstalk Vertical Garden,,,,,,,Yes,,Yes,,,
Detail Mold & Manufacturing LLC,CY,http://www.detailmold.com,detailmold.com,AMBA,14773 Ranch Road 2338,Georgetown,TX,78633,(512) 255-0525,Medical; industrial; consumer,"Engineering & design; CNC high-speed milling & turning; EDM (wire & sinker); laser welding & engraving; injection mold design, validation & production support; custom machining; ISO 9001:2015 & ISO 13485:2016; Class 8 cleanroom; lights-out automation",26000,,,35+,,,Yes,,Yes,,,
Lowrance Machine Shop,CY,http://www.lowrancemachine.com,lowrancemachine.com,AMBA,13510 East Hardy Road,Houston,TX,77039,(281) 449-6524,Rubber & plastic molding; automotive; oil & gas; industrial,"CNC & manual machining; custom mold design & building (rubber & plastic; compression/transfer/injection); mold repairs; inserts; reverse engineering; engineered components; special fasteners; industrial repair; value-add (heat treat, coatings, NDT, welding, EDM, testing); ISO 9001:2015; family-owned (3 generations)",,,,,Family-owned (since 1964),,Yes,,Yes,Yes,,
"Schaefer Mold, Inc.",CY,http://www.schaefermold.com,schaefermold.com,AMBA,2358 Blue Smoke Court N.,Fort Worth,TX,76105,(817) 534-7461,Automotive; consumer; industrial; medical (implied),Mold design & manufacturing; experienced leadership & design staff,,,,,,,Yes,,Yes,,,
Solution Tools,CY,http://www.solution-tools.com,solution-tools.com,AMBA,6989 Commerce Ave.,El Paso,TX,79915,(915) 594-0040,Medical; automotive; appliance,Plastic injection mold design & manufacturing; in-house diagnostics; toolmaking & moldmaking; US & Mexico operations; environment & compliance values,,,,25+,,,Yes,,Yes,,,
Schweitzer Engineering Laboratories (SEL),CN,http://www.selinc.com,selinc.com,AMBA,2350 NE Hopkins Court,Pullman,WA,99163,(509) 332-1890,Electric power grid; utilities; critical infrastructure,"Generation/transmission solutions; distribution & substation automation; microgrid control; cybersecurity; electronic relays & controllers; turnkey engineering; >7,000 employees; 100% employee-owned; products >250 years MTBF",,,,41,Employee-owned,,,,,,,
"AJ Tool & Manufacturing, LLC",CN,http://www.ajtoolmfg.com,ajtoolmfg.com,AMBA,3026 Beechwood Industrial Ct.,Hubertus,WI,53033,(262) 628-4445,Medical; automotive; marine; communications & electronics; consumer; lawn & garden; packaging; appliance & industrial,Custom tooling & molds; engineering; competitive pricing; flexible in-house design; second-generation family-owned,,,,,Family-owned (2nd gen),,Yes,,Yes,Yes,,
Apollo Tool Inc.,CY,http://www.apollo-tool.com,apollo-tool.com,AMBA,4th St Cardinal Dr,Westfield,WI,53964,(608) 296-2112,Various (tool & die; plastics),Plastic injection tooling (close tolerance); hot runner; multi-shot; insert; auto-unscrewing; compression; multi-cavity; die-cast; tool engineering & design; 3D modeling & CAD/CAM; prototypes & rapid tooling; emergency mold repair (Mold Medics); family-owned since 1973,,,,52,Family-owned,,Yes,Yes,Yes,Yes,,
Carlson Tool & Manufacturing,CY,http://www.carlsontool.com,carlsontool.com,AMBA,2020 W57 N14386 Doerr Way,Cedarburg,WI,53012,(800) 532-2252,Automotive; aerospace; medical; industrial; consumer,"Tool design/engineering/manufacturing/tryout/validation; injection molds & repair/refurbishment; gundrilling & deep-hole (to 20 ft, up to 20"" dia); honing (±0.0005"", 4Ra); precision machining (CNC turning/milling/EDM); metrology lab (5 CMMs); ISO 9000",,,,67,Family-owned,,Yes,Yes,Yes,Yes,,
CDM Tool & Manufacturing,CY,http://www.cdmtool.com,cdmtool.com,AMBA,749 North Wacker Drive,Hartford,WI,53027,(262) 673-5620,Automotive; aerospace; medical; consumer; industrial,"Mold making (Class 101–105; structural foam; double-shot; stack; overmold); CNC machining (vertical, horizontal, 5-axis); EDM (sinker & wire); gun drilling; contract machining; prototyping; tool repair & welding; advanced equipment",,,,63,,,Yes,Yes,Yes,,,
Classic Tool & Die,C?,http://www.classtd.com,classtd.com,AMBA,1904 Industrial Drive,Sandusky,OH,44870,(419) 626-2111,,,Limited public data,,,,,,,,,,,
"Compumold Tool & Design, Inc.",CY,http://www.compumold.com,compumold.com,AMBA,710 S Airport Rd.,Phillips,WI,54555,(715) 339-3000,Automotive; medical; consumer; industrial; electronics,"Small to medium injection molds (7–300T); mold design; EOAT; assembly fixtures; holding nests; prototyping & revisions; CAD/CAM (SolidWorks, Mastercam)",,,,41,,,Yes,,Yes,,,
D & S Mold & Tool,C?,http://www.dsmold.com,dsmold.com,AMBA,2417 Cleveland Ave,Marinette,WI,54143,(715) 732-0504,,,"Limited data (assumed mold design, tooling, machining, repair)",,,,,,,,,,,
Dynacast (Form Technologies),CY,http://www.dynacast.com,dynacast.com,AMBA,3770 Glen Lake Drive,Charlotte,NC,28208,(704) 398-7000,Automotive; electronics; enterprise tech; hardware; medical; renewable energy & EV,"Precision die casting (aluminum, magnesium, zinc); thin-wall complex geometries; surface finishing (anodizing, e-coating, conversion coatings); scalable global manufacturing; ESG & ISO 14001 initiatives",,,,100+ years brand lineage,,,,,,,,
Dynamic Tool Corporation,CY,http://www.dyntool.com,dyntool.com,AMBA,6340 W133 N5180 Campbell Drive,Menomonee Falls,WI,53051,(262) 783-6340,Medical; packaging; personal care; industrial; energy; electronics; water management,Prototype/bridge/pilot/production molds (single to 256-cavity & stack); multi-shot; insert; IMD/IML; hot runner; auto-unscrew; collapsible core; DFM; refurbishment/repair/PM; scientific sampling; turnkey systems (robotics/automation/conveyors/custom equipment); conformal cooling & simulation; tolerances to 0.0002",,,,40+,,,Yes,Yes,Yes,,,
"Innovation Mold and Design, Inc.",CY,http://www.innovationmold.com,innovationmold.com,AMBA,N118 W18988 Bunsen Drive,Germantown,WI,53022,(262) 251-8201,Automotive; medical; electrical; agricultural; lawn & garden; hardware; consumer; packaging,"Injection, thermoset injection & compression, and diecast molds; custom machining; EDM; contract design; 30,000 sq ft facility; state-of-the-art CAD/CAM; quick turnaround",30000,,,46,,,Yes,Yes,Yes,,,
Kaysun Corporation,CY,http://www.kaysun.com,kaysun.com,AMBA,5500 West Drive,Manitowoc,WI,54220,(920) 686-5800,Medical; industrial; automotive & heavy truck; consumer products,"Engineering (DfM, materials, metal-to-plastic conversion); tool building & validation; scientific molding; injection molding (multi-shot, insert, overmolding); in-house quality lab (IQ/OQ/PQ); assembly & automation; ISO 9001:2015; sustainability initiatives",,,,79,Founded 1946,,Yes,Yes,Yes,,,
M&M Tool and Mold,CY,http://www.mmtoolandmold.com,mmtoolandmold.com,AMBA,3300 Commodity Lane,Green Bay,WI,54304,(920) 336-6474,Medical; consumer; industrial; automotive,Tool & die; concurrent engineering; hot runner; insert molds; die cast tooling; prototype tooling; multi-shot; ITAR/Q-MED/AMBA certified; lights-out automation; award-winning,,,,30,,,Yes,Yes,Yes,,,
"Master Tool and Mold, Inc.",CY,http://www.mastertoolandmold.com,mastertoolandmold.com,AMBA,"765 N. 11th Ave., P.O. Box 152",Grafton,WI,53024,(262) 377-8030,Medical; housewares; lawn & garden; recreational; plumbing,"Multi-cavity, close-tolerance molds & dies; new tooling; welding & repair; skilled craftsmanship with CNC precision; founded 1972",,,,53,,,Yes,,Yes,,,
Mauston Tool Corporation,CY,https://www.maustontool.com,maustontool.com,AMBA,1015 Parker Drive,Mauston,WI,53948,(608) 847-5162,Medical; consumer; automotive; electronics,Custom injection mold builder; multi-cavity & multi-mold projects; product design assistance; mold sampling & FAI; thermoplastic & LSR tooling; emergency repairs & maintenance; heavy robotics & lights-out; 95% repeat customers,,,,47,,,Yes,Yes,Yes,,,
Omega Tool,CN,http://www.omega-tool.com,omega-tool.com,AMBA,1055 Clark Road,Windsor,Ontario N8N,1B1,(262) 255-0205,,,Limited public data,,,,,,,,,,,
"RAM Tool, Inc.",CY,http://www.ramtoolinc.com,ramtoolinc.com,AMBA,1420 Cheyenne Ave.,Grafton,WI,53024,(262) 375-3036,Aerospace; automotive; medical; military & defense; oil & gas; mining; agriculture; powersports; wind energy; railroad,"CNC machining (5-axis, large-part to 20 tons); EDM (wire & sinker); prototype tooling; die cast dies; contract milling; laser scanning & reverse engineering; custom inspection machinery; welding & forging; rapid prototyping; 80,000 sq ft; ISO 9001:2015; ITAR",80000,,,46,Family-owned,,Yes,Yes,Yes,Yes,,
Retlaw Industries Inc.,CY,http://www.retlawindustries.com,retlawindustries.com,AMBA,520 Industrial Drive,Hartland,WI,53029,(888) 412-9188,Fitness; lawn & garden; electronics; construction; appliances; agriculture; food production; warehousing & transportation; automation,"Plastic injection molding; custom tooling & EDM; mold making & precision tooling; assembly & prototyping; design & engineering; 50,000+ sq ft facility; 19 molding machines; ISO 9001:2015; American-made",50000+,,,40+,,,Yes,,Yes,,,
Sheridan Mold & Engineering Inc.,CY,http://www.sheridanmold.com,sheridanmold.com,AMBA,,,,,(414) 481-8203,Automotive; electronics; consumer; industrial,"Injection molding (prototype/bridge/production; overmolding & insert); CNC machining; additive manufacturing; mold design, engineering & sampling; turnkey systems; rapid prototyping; founded 1998",,,,27,,,Yes,,Yes,,,
Snider Mold Company,CY,http://www.snidermold.com,snidermold.com,AMBA,6303 West Industrial Drive,Mequon,WI,53092,(262) 242-0870,Automotive; agriculture; marine; leisure vehicles; seating; housing & construction,Medium to large injection; low-pressure injection; compression molds (SMC/BMC); in-mold trimming; edge wrap; multiple material molds; structural foam & web; contract CNC & sample molding; secondary punch & trim; specialty machinery for assembly/QC/SPC; prototyping?production,,,,40+,,,Yes,,Yes,,,
Stellar Mold & Tool,CY,http://www.stellarmold.com,stellarmold.com,AMBA,20850 West Gale Ave,Galesville,WI,54630,(608) 582-4118,Medical; electronics; aerospace; automotive; consumer products,"Injection mold design/programming; CNC (high-speed, tight tolerance to ±0.0001""); wire & sinker EDM; repair/revision/retooling; laser micro welding; reverse engineering & 3D scanning; shuttle/two-shot/overmolding/high-cavitation/unscrewing; 3D printing & prototyping; 20,000 sq ft; new ownership 2020 with $2M+ upgrades",20000,,,47,,,Yes,Yes,Yes,,,
Triangle Tool LLC,CY,http://www.triangletoolcorp.com,triangletoolcorp.com,AMBA,8609 W Port Ave,Milwaukee,WI,53224,(414) 357-7117,Automotive; industrial; energy; others,Large mold building; injection molds; specialty machining (broad sizes/configurations); fluid end machining; continuous innovation & partner-oriented approach,,,,,,,Yes,Yes,Yes,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
