Company Name,Target Status,Status (proposed),Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Region,Medical,Notes (Approach/ Contacts/Info)
1 Source Design (One Source Group / MS-2 Partnership),CY,CY,http://1-sourcedesign.com/,1-sourcedesign.com,AMBA,1024 Airport Industrial Dr.,Gadsden,ON,35904,(519) 627-6034,Automotive; Consumer products; Industrial equipment,"Tool builds (design ? production); Repairs & engineering changes; Outsource machining; Injection mold tryouts/molding; RIM molds; Glass encapsulation tools; Die cast tooling (up to 55,000 lbs); Trim & coining dies; Fixtures and automation support","40,000 (site Wallaceburg); 25,000 (site Gadsden)",45+ (site); ~60 (public: BF 2024),$10–25M (public: ZoomInfo 2024),~40,Dale Bowers (Plant Manager); Kevin Colfer (Engineering Manager); Jack Fox (Molding Manager),"Toshiba horizontal boring mills (44,000 lbs); Parpas 5-axis gantry (49,500 lbs); Tarus 6-axis gun drill; CNCs (Matsuura, Fadal); EDMs (Sodick, Xermac); Injection presses (500T, 730T, 1500T); Gantry CMMs; Spotting presses",Yes,Yes,Yes,No,"Wallaceburg, ON (secondary)",No Region,No,
Harris Precision Mold,CY,CY,http://www.hpmold.com,hpmold.com,AMBA,1705 West 4th Street,Tempe,AZ,85281,(480) 731-3135,Medical; Pharmaceutical; Packaging,"Precision mold design (SolidWorks, SurfCam, Esprit); Class 101 injection molds; Multi-shot, shuttle, unscrewing molds; Tooling repair & support","~25,000 (site)",~50 (site); ~65 (public: BF 2023),$8–12M (public: ZoomInfo 2024),~40,Privately held,null,,,Yes,No,"West Jordan, UT (support facility)",No Region,Yes,
M.R. Mold & Engineering,CY,CY,http://www.mrmold.com,mrmold.com,AMBA,1150 Beacon Street,Brea,CA,92821,(714) 996-5511,Medical; Consumer products; Aerospace; Industrial,LSR & gum stock molds; Plastic injection molds; Micro/overmold/insert molds; Cold runner systems; Automation; Mold sampling & validation,"23,000 (site)",30+ (site); ~45 (public: BF 2024),$10–25M (public: ZoomInfo 2024),40,Rick Finnie (Founder/CEO),"6 molding machines; 4,000 sq ft Tech Center; CNC; EDM; Robotics; Mastercam programming",Yes,,No,No,,No Region,Yes,
Prestige Mold,CY,CY,http://www.prestigemold.com,prestigemold.com,AMBA,11040 Tacoma Drive,Rancho Cucamonga,CA,91730,(909) 980-6600,Medical; Packaging; Consumer products,Precision injection mold design/build; Turnkey tooling; Advanced CAD/CAM & 3D modeling; Automation & robotics integration,"30,000 (site estimate)",~50 (site); ~70 (public: BF 2024),~$15M (calc from employees),,Privately held; family-owned,null,,,No,Yes,,No Region,Yes,
Source One (Product Development Solutions),CY,CY,http://www.source-one.net,source-one.net,AMBA,41691 Corporate Center Ct,Murrieta,CA,92562,(714) 672-4172,Medical; Packaging; Consumer products,Injection mold design/build; Mold sampling; Engineering changes & repair; CNC machining & tool maintenance,"~15,000 (site estimate)",~25 (public: BF 2023),~$5M (calc from employees),,Privately held,null,Yes,,Yes,No,,No Region,Yes,
South Coast Mold,CY,CY,http://www.southcoastmold.com,southcoastmold.com,AMBA,1852 McGaw,Irvine,CA,92614,(949) 253-2000,Medical; Packaging; Consumer products,Custom injection mold design/build; Multi-cavity molds; Hot runner molds; Tool repair & maintenance; Engineering changes,"20,000 (site)",~40 (site); ~55 (public: BF 2023),$8–12M (public: ZoomInfo 2024),~45,Privately owned; family-managed,null,,,Yes,Yes,,No Region,Yes,
Westec Plastics,CN,CN,http://www.westecplastics.com,westecplastics.com,AMBA,6757 Las Positas Road,Livermore,CA,94551,(925) 454-3400,Medical & healthcare; Aerospace; Industrial; Consumer products,Tool design & moldmaking; Custom injection molding; Medical device manufacturing; Cleanroom molding (ISO Class 8); Secondary operations & assembly,"50,000 (site)",90+ (site); ~110 (public: LinkedIn 2024),~$25M (public: ZoomInfo 2024),~55,Tammy Barras (President/CEO),null,,,Yes,No,,No Region,Yes,
PTA Plastics,CN,CN,https://www.ptaplastics.com/,ptaplastics.com,AMBA,516 E. Industrial Park Rd,Oxford,CT,6478,(203) 888-0585,Medical devices; Aerospace & defense; Industrial; Consumer electronics,Injection mold design & engineering; Custom molding; Insert molding; Assembly & secondary services; Rapid prototyping,"90,000+ (combined CT & CO)",180+ (site); ~200 (public: LinkedIn 2024),~$45M (public: ZoomInfo 2024),~70,100% Employee-owned (ESOP),null,,,Yes,No,"Longmont, CO (facility)",No Region,Yes,
"Ivanhoe Tool & Die Company, Inc.",CN,CN,http://ivanhoetool.com/,ivanhoetool.com,AMBA,1217 West State Street,Belding,MI,48809,(616) 794-2704,Automotive (Tier 1 & OEMs); Consumer products; Industrial,Custom injection mold design/build; Prototype & production tooling; Engineering changes & repair; Tool sampling & validation,"50,000 (site)",~70 (site); ~80 (public: LinkedIn 2024),~$14M (public: ZoomInfo 2024),~60,"Privately held, family-owned",null,,,Yes,Yes,,No Region,No,
Wepco Plastics,CN,CN,https://wepcoplastics.com/,wepcoplastics.com,AMBA,27 Industrial Park Access Rd.,Middlefield,CT,6455,(860) 349-3407,Consumer products; Industrial equipment; Automotive (low-volume programs),"Custom injection molding; Mold design & build; Prototyping; Insert & overmolding; Secondary operations (assembly, finishing)","20,000 (site)",~35 (site); ~40 (public: BF 2024),~$7M (calc from employees),~40,Rachel Hile (President/Owner),null,,,Yes,Yes,,Ilin,No,
"Westminster Tool, Inc.",CY,CY,http://www.westminstertool.com,westminstertool.com,AMBA,23 Industrial Park Road,Plainfield,CT,6374,(860) 923-3200,Medical; Aerospace & defense; Industrial; Consumer products,"Plastic injection mold design/build; Mold maintenance & repair; Advanced manufacturing (CNC, EDM, additive); Engineering changes & prototyping","20,000+ (site)",~45 (site); ~50 (public: LinkedIn 2024),~$12M (public: ZoomInfo 2024),~27,Ray Coombs (Founder); Hillary Thomas (President),null,Yes,,Yes,Yes,,No Region,Yes,
Ameritech Die & Mold,CY,CY,https://www.amdiemold.com/,amdiemold.com,AMBA,107 Knob Hill Road,Mooresville,NC,28117,(704) 664-0801,Medical devices; Industrial equipment; Packaging,Precision injection mold design/build; Multi-cavity tooling; Hot runner systems; Mold repair & engineering changes; Validation and sampling,"30,000 (site)",~60 (site); ~70 (public: LinkedIn 2024),~$15M (public: ZoomInfo 2024),~76,Mark Kosinski (President),null,,Yes,Yes,Yes,,Ilin,Yes,
Carson Tool & Mold,CY,CY,http://www.carsonmold.com,carsonmold.com,AMBA,3070 Moon Station Road,Kennesaw,GA,30144,(770) 427-3716,Automotive; Industrial; Consumer products,Injection mold design/build; Tooling for interior/exterior automotive components; Engineering changes; Tool repair & maintenance,"50,000 (site)",~90 (site); ~100 (public: LinkedIn 2024),~$25M (public: ZoomInfo 2024),~46,Family-owned; second generation leadership,null,,Yes,Yes,Yes,,Mich,No,
American Tool & Engineering (ATE),CY,CY,http://www.atemold.com,atemold.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Automotive; Medical; Consumer/industrial products,Precision injection molds; Multi-cavity tooling; Hot runner systems; CNC machining; Mold repair & maintenance,"40,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),~$18M (public: ZoomInfo 2024),~26,Privately held,null,Yes,,Yes,No,,Mich,Yes,
"Iowa Mold & Engineering, Inc.",CY,CY,http://www.iowamold.com,iowamold.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Automotive; Industrial machinery; Heavy equipment,Custom mold design/build; Tool & die making; Industrial equipment manufacturing; Engineering support,"100,000+ (site)",~250 (public: LinkedIn 2024),~$55M (public: ZoomInfo 2024),~63,Oshkosh Corporation (publicly traded),null,,,Yes,No,,No Region,No,Test Iowa Note
MSI Mold Builders,CY,CY,http://www.msimoldbuilders.com,msimoldbuilders.com,AMBA,12300 6th St SW,Cedar Rapids,IA,52404,(319) 848-7001,Automotive; Heavy truck; Industrial equipment,Large plastic injection molds; Complex tooling; Mold repair & maintenance; Engineering changes,"80,000+ combined (site/public)",~120 (site); ~130 (public: LinkedIn 2024),~$35M (public: ZoomInfo 2024),~53,Steve Rotman (CEO),null,,,Yes,No,"Greenville, SC (facility)",No Region,No,MSI test note #1 This field only. Only here. Change the note. Blah blah
Summit Mold,CY,CY,http://www.summitmold.com,summitmold.com,AMBA,4200 W Seltice Way,Post Falls,ID,83854,(208) 777-7462,Medical; Automotive; Consumer products,Injection mold design/build; Multi-cavity tooling; Hot runner systems; Mold repair & engineering changes,"25,000 (site)",~40 (site); ~50 (public: LinkedIn 2024),~$10M (public: ZoomInfo 2024),~47,Family-owned; second generation,null,,Yes,Yes,Yes,,No Region,Yes,Test note for Summit
AC Mold & Die Company,CY,CY,http://www.acmold.com,acmold.com,AMBA,1450 Summit Avenue,Plano,TX,75074,(972) 423-7557,Medical; Microelectronics; Automotive,Micro-molding; Insert molding; Multi-cavity molds; Precision tooling; Product development support,"82,000 (site)",350+ (site); ~400 (public: LinkedIn 2024),~$90M (public: ZoomInfo 2024),~39,Roger Hargens (President/CEO),null,,,Yes,No,,No Region,Yes,
A1 Tool Corporation,CY,CY,http://www.a1toolcorp.com,a1toolcorp.com,AMBA,1425 Armitage Ave,Melrose Park,IL,60160,(708) 345-5000,Automotive; Industrial; Packaging,Large injection molds; Complex multi-cavity tooling; Mold repair & engineering changes; Precision machining,"90,000 (site)",~120 (site); ~140 (public: LinkedIn 2024),~$30M (public: ZoomInfo 2024),~79,Greg Osko (President),null,,,Yes,No,,Ilin,No,
Alchemy Precision,CY,CY,http://www.alchemyprecision.com,alchemyprecision.com,AMBA,25 Western Industrial Drive,Cranston,RI,2921,(401) 946-5200,Medical; Consumer products; Industrial,Custom mold design/build; Precision machining; Mold repair & maintenance; Engineering support,"12,000 (site)",~20 (site); ~25 (public: LinkedIn 2024),~$5M (calc from employees),,Privately owned; small business,null,,Yes,Yes,Yes,,No Region,Yes,
Angle Tool Works Inc.,CY,CY,http://www.angletoolworks.com,angletoolworks.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Automotive; Consumer products; Industrial,Injection mold design/build; CNC machining & EDM; Mold maintenance & repair; Engineering changes,"20,000 (site)",~35 (site); ~40 (public: LinkedIn 2024),~$8M (public: ZoomInfo 2024),~48,Privately held; family-owned,null,Yes,,Yes,Yes,,Ilin,No,
Armin Tool & Manufacturing Co.,CY,CY,http://www.armin-ind.com,armin-ind.com,AMBA,1500 N La Fox St.,South Elgin,IL,60177,(847) 742-1864,Automotive; Heavy equipment; Consumer goods,Injection molds; Die cast tooling; Precision machining; Mold repair & engineering changes,"40,000 (site)",~60 (site); ~70 (public: LinkedIn 2024),~$16M (public: ZoomInfo 2024),~56,Dennis Tully (President/Owner),null,Yes,,Yes,No,,Ilin,No,Notes about Armin blah blah more notes blah blah blah maybe I can add some more I talked to so and so and blah
BA Die Mold,CY,CY,http://www.badassmolds.com,badassmolds.com,AMBA,3685 Prairie Lake Court,Aurora,IL,60504,(630) 978-4747,Consumer products; Industrial; Automotive (limited),Custom injection molds; Mold repair & engineering; Prototyping,"10,000 (site)",~15 (public: LinkedIn 2024),~$3M (calc from employees),,Privately held; owner-operated,null,Yes,,Yes,No,,No Region,No,
Chicago Mold Engineering,CY,CY,http://www.chicagomold.com,chicagomold.com,AMBA,615 Stetson Ave.,St. Charles,IL,60174,(630) 584-1311,Packaging; Consumer products; Automotive,Injection mold design/build; Multi-cavity tooling; Mold repair & maintenance; Engineering services,"60,000 (site)",~80 (site); ~90 (public: LinkedIn 2024),~$20M (public: ZoomInfo 2024),~80,Family-owned; multi-generation business,null,Yes,,Yes,Yes,,Ilin,No,
Comet Die & Engraving Company,CY,CY,http://www.cometdie.com,cometdie.com,AMBA,909 North Larch Avenue,Elmhurst,IL,60126,(630) 833-5600,Automotive; Consumer products; Industrial,Injection molds; Engraving services; Mold maintenance & repair; CNC machining,"15,000 (site)",~30 (site); ~35 (public: LinkedIn 2024),~$6M (calc from employees),~49,Privately held,null,Yes,,Yes,No,,Ilin,No,
Craftsman Tool & Mold,CY,CY,http://www.craftsmanmold.com,craftsmanmold.com,AMBA,2750 Church Road,Aurora,IL,60502-9706,(630) 851-8700,Automotive; Industrial; Consumer products,Custom injection molds; CNC machining; Mold repair & engineering changes; Prototype tooling,"25,000 (site)",~50 (site); ~55 (public: LinkedIn 2024),~$12M (public: ZoomInfo 2024),~52,Privately held,null,Yes,,Yes,No,,Mich,No,
Creative Die Mold Corp.,CY,CY,http://www.creativediemold.com,creativediemold.com,AMBA,425 Windy Point Drive,Glendale Heights,IL,60139,(630) 790-9731,Automotive; Consumer products; Industrial,Injection mold design/build; Tool repair & engineering; Prototyping; CNC machining,"20,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),~$10M (public: ZoomInfo 2024),~55,Privately held,null,Yes,,Yes,No,,No Region,No,
DEMGY Group,C?,C?,http://www.demgy.com,demgy.com,AMBA,27502 Pont-Audemer Cedex,,BP,70033,,Aerospace; Automotive; Medical; Industrial,Plastic injection tooling; Composites manufacturing; Lightweighting solutions; Prototyping and engineering,"30,000 (site)","~70 (public: LinkedIn 2024, U.S. ops)",~$18M (calc for U.S. division),,Demgy Group (France),null,Yes,,,No,,Ilin,Yes,
Elba Tool & Die,CY,CY,http://www.elbatool.com,elbatool.com,AMBA,220 Covington Dr,Bloomingdale,IL,60108,(847) 895-4100,Automotive; Industrial; Consumer products,Large injection molds; Tool repair & maintenance; CNC machining & EDM; Engineering changes,"35,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),~$14M (public: ZoomInfo 2024),~50,Privately held,null,Yes,,Yes,No,,Mich,No,
Electroform Company,CY,CY,http://www.injectionmoldmaking.com,injectionmoldmaking.com,AMBA,11070 Raleigh Ct.,Rockford,IL,61115,(815) 633-1113,Medical; Consumer products; Automotive,Precision injection molds; CNC machining; Mold repair & maintenance; Engineering services,"18,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),~$9M (calc from employees),~52,Family-owned,null,Yes,,Yes,Yes,,Mich,Yes,
Foreman Tool & Mold,CY,CY,http://www.foremantool.com,foremantool.com,AMBA,2605 N. 29th Avenue,Hollywood,FL,33020,(954) 925-2127,Automotive; Packaging; Consumer products,Multi-cavity injection molds; Prototype tooling; CNC machining & EDM; Mold repair & engineering changes,"40,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),~$15M (public: ZoomInfo 2024),~45,Privately held,null,Yes,,Yes,No,,Mich,No,
Helm Tool Company,CY,CY,http://www.helmtool.com,helmtool.com,AMBA,1420 Wright Blvd,Schaumburg,IL,60193,(847) 364-0855,Automotive; Consumer products; Industrial,Precision injection molds; Mold maintenance & repair; CNC machining; Prototyping,"30,000 (site)",~50 (site); ~55 (public: LinkedIn 2024),~$12M (calc from employees),~47,Family-owned,null,Yes,,Yes,Yes,,Ilin,No,
Industrial Molds (Division of Pyramid Molding Group),CY,CY,http://www.industrialmolds.com,industrialmolds.com,AMBA,5175 27th Avenue,Rockford,IL,61109,(815) 397-2971,Medical; Automotive; Consumer products,High-precision injection molds; CNC machining & EDM; Mold repair & engineering support; Mold validation & sampling,"60,000 (site)",~85 (site); ~90 (public: LinkedIn 2024),~$20M (public: ZoomInfo 2024),~56,Jim Wenson (President/Owner),null,Yes,,Yes,No,,Ilin,Yes,
Janler Corporation,CY,CY,http://www.janler.com,janler.com,AMBA,6545 N. Avondale Ave.,Chicago,IL,60631,(773) 774-0166,Medical; Packaging; Consumer products,Tight-tolerance injection molds; Mold repair & engineering changes; Mold validation & sampling; Precision machining,"50,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),~$18M (public: ZoomInfo 2024),~66,Family-owned; multi-generation leadership,null,Yes,,Yes,Yes,,Ilin,Yes,
"M&M Tooling, Inc.",CY,CY,http://www.mmtooling.com,mmtooling.com,AMBA,395 E. Potter,Wood Dale,IL,60191,(630) 595-8834,Consumer products; Automotive; Packaging,Custom injection molds; Mold repair & maintenance; CNC machining; Prototyping,"18,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),~$9M (calc from employees),~53,Privately held,null,Yes,,Yes,No,,No Region,No,
Mako Mold Corp.,CY,CY,http://www.makomold.com,makomold.com,AMBA,3820 Ohio Avenue - Unit 7,St. Charles,IL,60174,(630) 377-9010,Automotive; Industrial; Consumer products,Plastic injection molds; CNC machining & EDM; Tool repair & engineering support; Prototype tooling,"15,000 (site)",~35 (site); ~40 (public: LinkedIn 2024),~$8M (calc from employees),~39,Privately held,null,Yes,,Yes,No,,No Region,No,
Matrix Plastic Products,CY,CY,http://www.matrixplastic.com,matrixplastic.com,AMBA,949 A.E.C. Drive,Wood Dale,IL,60191,(630) 595-6144,Medical; Consumer products; Industrial,Injection mold design/build; Plastic injection molding; CNC machining; Mold repair & maintenance,"55,000 (site)",~75 (site); ~80 (public: LinkedIn 2024),~$19M (public: ZoomInfo 2024),~46,Rick Shaffer (President/Owner),null,Yes,,Yes,No,,E.Mass,Yes,
"Pelco Tool & Mold, Inc.",CY,CY,http://www.pelcotoolinc.com,pelcotoolinc.com,AMBA,181 Exchange Blvd.,Glendale Heights,IL,60139,(630) 871-1010,Packaging; Consumer products; Automotive,Precision injection molds; CNC machining & EDM; Tool repair & engineering; Prototyping,"22,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),~$11M (calc from employees),~50,Privately held,null,Yes,,Yes,No,,Ilin,No,
PM Mold,CN,CN,http://www.pmmold.com,pmmold.com,AMBA,800 Estes Ave.,Schaumburg,IL,60193,(847) 923-5400,Automotive; Consumer products; Industrial,Custom injection molds; CNC machining & EDM; Tool maintenance & engineering; Prototype tooling,"50,000 (site)",~80 (site); ~85 (public: LinkedIn 2024),~$20M (public: ZoomInfo 2024),~62,Family-owned,null,Yes,,Yes,Yes,,No Region,No,
Sullivan Tool & Repair Inc.,CY,CY,http://www.sullivantool.net,sullivantool.net,AMBA,370 Brook St.,Elgin,IL,60120,(224) 856-5867,Automotive; Industrial; Consumer products,Large injection molds; CNC machining & EDM; Tool repair & engineering changes; Prototype tooling,"35,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),~$13M (calc from employees),~51,Family-owned,null,Yes,,Yes,Yes,,No Region,No,
Tri-Par Die and Mold Corporation,CN,CN,http://www.tri-par.com,tri-par.com,AMBA,670 Sundown Rd,South Elgin,IL,60177,(630) 232-8800,Automotive; Medical; Appliance; Consumer products,Plastic injection molds; Precision die making; CNC machining & EDM; Mold repair & maintenance,"45,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),~$16M (public: ZoomInfo 2024),~55,Family-owned,null,Yes,,Yes,Yes,,No Region,Yes,
B&D Manufacturing,CY,CY,http://www.bdmfgmolds.com,bdmfgmolds.com,AMBA,2100 E Carter St,Kokomo,IN,46901,(765) 452-2761,Automotive; Consumer products; Industrial,Injection mold design/build; Production tooling; Mold repair & revisions; CNC machining,"30,000 (site)",~50 (site); ~55 (public: LinkedIn 2024),~$12M (calc from employees),40+,Privately held,null,Yes,,Yes,No,,Mich,No,
"Superior Plastics & Manufacturing (SPC Mfg., Inc.)",CY,CY,http://www.spcmfg.com,spcmfg.com,AMBA,2600 Airport Road,Waterford,MI,48327,(248) 673-6900,Automotive; Industrial; Consumer goods,Injection mold design/build; CNC machining; EDM; Mold repair & engineering changes,"25,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),~$10M (calc from employees),45+,Family-owned,null,Yes,,Yes,Yes,,Mich,No,
"Decatur Mold Tool & Engineering, Inc.",CY,CY,http://www.decaturmold.com,decaturmold.com,AMBA,3330 North State Highway 7,North Vernon,IN,47265,(812) 346-5188,Automotive; Heavy equipment; Consumer products,Large plastic injection molds; CNC machining & EDM; Mold validation & sampling; Mold repair & revisions,"80,000 (site)",~100 (site); ~110 (public: LinkedIn 2024),~$25M (public: ZoomInfo 2024),~58,Family-owned,null,Yes,,Yes,Yes,,No Region,No,
Lorentson Manufacturing,C?,C?,http://www.lorentson.com,lorentson.com,AMBA,"1111 Rank Parkway, PO Box 932",Kokomo,IN,46903-0932,(765) 452-4425,Automotive; Consumer goods; Industrial,Injection molds; CNC machining; Mold repair & maintenance; Tooling support,"20,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),~$9M (calc from employees),45+,Privately held,null,Yes,,Yes,No,,No Region,No,
Michiana Global Mold (MG Mold),C?,C?,http://www.mgmold.net,mgmold.net,AMBA,1702 East 7th Street,Mishawaka,IN,46544,(574) 259-6262,Automotive; Consumer products,Automotive injection molds; Prototype tooling; CNC machining & EDM; Mold repair,"35,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),~$14M (calc from employees),30+,Privately held,null,Yes,,Yes,No,,Mich,No,
North American Lighting (Koito Group),C?,C?,http://www.nal.com,nal.com,AMBA,2275 S. Main Street,Paris,IL,61944,(217) 465-6411,Automotive (lighting systems),Tool design & build; Injection moldmaking; Die casting tooling; Tool repair & maintenance,"Multiple facilities in Illinois, Indiana, and Alabama","5,000+ (global); tooling division ~200",~$1.5B (NAL global); tooling division ~$40M (calc est.),40+,Koito Manufacturing (Parent Company),null,Yes,,Yes,No,,Ilin,No,
"Roembke Mfg. & Design, Inc.",CN,CN,http://www.roembke.com,roembke.com,AMBA,1580 Baker Drive,Ossian,IN,46777,(260) 622-4135,Medical; Automotive; Consumer products,LSR injection molds; Thermoplastic molds; Prototyping; Mold validation & sampling,"55,000 (site)",~80 (site); ~85 (public: LinkedIn 2024),~$22M (public: ZoomInfo 2024),~47,Jim Roembke (Founder/CEO),null,Yes,,Yes,Yes,,No Region,Yes,
SIMCO – Southern Indiana Mold Corp.,CY,CY,http://www.soindmoldcorp.com,soindmoldcorp.com,AMBA,"2945 N. State Highway 3, P.O. Box 119",North Vernon,IN,47265,(812) 346-2622,Automotive; Packaging; Consumer products,Injection mold design/build; CNC machining; EDM; Tool repair & revisions,"28,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),~$12M (calc from employees),40+,Family-owned,null,Yes,,Yes,Yes,,No Region,No,
ASH Industries,CY,CY,http://www.ashindustries.com,ashindustries.com,AMBA,1330 W. Willow St.,Lafayette,LA,70506,(337) 235-0977,Medical; Consumer products; Industrial,Injection mold design/build; Plastic injection molding; Mold repair & revisions; CNC machining,"50,000 (site)",~85 (site); ~90 (public: LinkedIn 2024),~$20M (public: ZoomInfo 2024),~33,Gary Baxter (Founder/CEO),null,Yes,,Yes,No,,No Region,Yes,
Prime Manufacturing Technologies,CY,CY,http://www.primemfgtech.com,primemfgtech.com,AMBA,8735 Bollman Place,Savage,MD,20763,(301) 604-0900,Automotive; Medical; Consumer products; Industrial,Precision injection molds; CNC machining & EDM; Tool repair & engineering changes; Contract manufacturing,"35,000 (site)",~65 (site); ~70 (public: LinkedIn 2024),$14M (calc from employees),,Privately held,null,Yes,,Yes,,,Mich,Yes,
"Accu-Die & Mold, Inc.",CY,CY,http://www.accu-die.com,accu-die.com,AMBA,2410 S. Dixie Hwy,Kokomo,IN,46902,(765) 453-2300,Automotive; Consumer goods; Industrial,Plastic injection molds; Precision dies; CNC machining; Tooling support & maintenance,"22,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),$10M (calc from employees),56,Family-owned,null,Yes,,Yes,Yes,,Mich,No,
Baumann Tool & Die,CY,CY,http://www.baumanntd.com,baumanntd.com,AMBA,525 East Harris Ave.,Greenville,OH,45331,(937) 548-2147,Automotive; Consumer products; Industrial,Injection mold design/build; Precision dies; CNC machining & EDM; Tool repair & maintenance,"18,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),$9M (calc from employees),52,Family-owned,null,Yes,,Yes,Yes,,Mich,No,
Best Tool & Engineering (BTE),CY,CY,http://www.bteplastics.com,bteplastics.com,AMBA,34730 Nova Drive,Clinton Township,MI,48035,(586) 792-4119,Automotive; Consumer products; Medical; Industrial,Injection moldmaking; Plastic injection molding; CNC machining; Mold repair & engineering changes,"28,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),$12M (calc from employees),,Privately held,null,Yes,,Yes,,,Mich,Yes,
Byrne Tool + Design,CY,CY,http://www.byrne-tool.com,byrne-tool.com,AMBA,316 Byrne Industrial Dr NE,Rockford,MI,49341,(616) 866-4479,Automotive; Consumer products; Medical; Electronics,Injection mold design/build; Prototyping; CNC machining & EDM; Tool repair & revisions,"40,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),$15M (calc from employees),49,Family-owned,null,Yes,,Yes,Yes,,Mich,Yes,
Classic Die,CY,CY,http://www.classicdie.com,classicdie.com,AMBA,610 Plymouth NE,Grand Rapids,MI,49505,(616) 454-3760,Automotive; Appliance; Consumer goods,Injection molds; Precision dies; CNC machining; Mold repair & engineering changes,"30,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),$13M (calc from employees),,Privately held,null,Yes,,Yes,,,Mich,No,
