Company Name,Target Status,Status (proposed),Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Region,Medical,Notes (Approach/ Contacts/Info)
Commercial Tool Group,CY,CY,http://www.commercialtoolgroup.com,commercialtoolgroup.com,AMBA,5351 Rusche Dr NW,Comstock Park,MI,49321,(616) 785-8100,Automotive; Consumer goods; Appliance; Industrial,Large plastic injection molds; CNC machining; Automation & tooling integration; Mold repair & revisions,"150,000+ (site)",~250 (site); ~260 (public: LinkedIn 2024),$70M (public: ZoomInfo 2024),72,Privately held; family-owned,null,Yes,,Yes,Yes,,Mich,No,
CS Tool Engineering,CY,CY,http://www.cste.com,cste.com,AMBA,474 East 105th Street,Cleveland,OH,44108,(800) 447-4406,Automotive; Aerospace; Consumer products,Plastic injection molds; Precision dies; CNC machining & EDM; Tool repair & engineering changes,"25,000 (site)",~50 (site); ~55 (public: LinkedIn 2024),$11M (calc from employees),50,Privately held,null,Yes,,Yes,,,Mich,No,
"Deppe Mold and Tooling, Inc.",CY,CY,http://www.deppemold.com,deppemold.com,AMBA,2814 Franklin Ave SW,Grandville,MI,49418,(616) 530-1331,Automotive; Consumer products; Industrial,Injection mold design/build; CNC machining; EDM; Tool repair & maintenance,"20,000 (site)",~35 (site); ~40 (public: LinkedIn 2024),$8M (calc from employees),40+,Family-owned,null,Yes,,Yes,Yes,,Mich,No,Test note for Deppe
Die-Tech & Engineering,CY,CY,http://www.dietech-gr.com,dietech-gr.com,AMBA,4620 Herman Ave. SW,Wyoming,MI,49509,(616) 530-9030,Automotive; Consumer products; Electronics,Plastic injection molds; Precision dies; CNC machining & EDM; Mold repair & revisions,"50,000 (site)",~80 (site); ~85 (public: LinkedIn 2024),$18M (public: ZoomInfo 2024),41,Privately held,null,Yes,,Yes,,,Mich,No,Test note for Die-Tech
"Eifel, Inc.",CY,CY,http://www.eifel-inc.com,eifel-inc.com,AMBA,31071 Fraser Drive,Fraser,MI,48026,(586) 296-9640,Automotive; Medical; Consumer products; Electronics,Plastic injection molds; CAD/CAM engineering; CNC machining & EDM; Mold repair & maintenance; Mold validation,"35,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),$15M (calc from employees),52,Privately held,null,Yes,,Yes,,,Mich,Yes,
Team Elite,C?,C?,http://teameliteonline.com,teameliteonline.com,AMBA,1460 North Fork Road,Barnardsville,NC,28709,(828) 626-2286,Automotive; Aerospace; Medical; Consumer products,Prototype molds; Production molds; CNC machining & EDM; Mold repair & revisions; Tooling support,"30,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),$14M (calc from employees),43,Family-owned,null,Yes,,Yes,Yes,,Mich,Yes,
Franchino Mold & Engineering,CY,CY,http://www.franchino.com,franchino.com,AMBA,5599 West Grand River Avenue,Lansing,MI,48906,(517) 321-5609,Automotive; Appliance; Heavy equipment; Consumer products,Large injection molds; Die cast dies; CNC machining & EDM; Mold sampling & validation; Mold repair & revisions,"130,000 (site)",~150 (site); ~160 (public: LinkedIn 2024),$50M (public: ZoomInfo 2024),70,Family-owned,null,Yes,,Yes,Yes,,Mich,No,
Artiflex Manufacturing,CN,CN,http://www.gendie.com,gendie.com,AMBA,2354 Bellingham Dr.,Troy,MI,48083,(616) 452-0304,Automotive; Consumer goods; Industrial,Injection mold design/build; CNC machining & EDM; Tool repair & revisions; Production tooling support,"45,000 (site)",~80 (site); ~85 (public: LinkedIn 2024),$18M (calc from employees),~50,Privately held,null,Yes,,Yes,,,Mich,No,
"H&S Mold, Inc.",CY,CY,http://www.hs-mold.biz,hs-mold.biz,AMBA,3900 Linden Ave SE,Grand Rapids,MI,49735,(616) 452-0830,Automotive; Industrial; Consumer products,Plastic injection molds; CNC machining; EDM; Mold repair & revisions,"28,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),$12M (calc from employees),~40,Privately held,null,Yes,,Yes,,,Mich,No,
Hanson International,C?,C?,http://www.hansoninternational.com,hansoninternational.com,AMBA,3355 South Lapeer Road,Lake Orio,MI,48359,(248) 391-2200,Automotive; Heavy equipment; Consumer products,Plastic injection molds; Die cast dies; CNC machining & EDM; Mold validation & sampling,"150,000 (site)",~200 (site); ~210 (public: LinkedIn 2024),$60M (public: ZoomInfo 2024),61,Privately held,null,Yes,,Yes,,,Mich,No,
Johnson Precision Mold & Engineering,C?,C?,https://www.johnsonmold.com/,johnsonmold.com,AMBA,1001 Haines Blvd.,Sturgis,MI,49091,(269) 651-2553,Automotive; Consumer products; Industrial,Plastic injection molds; CNC machining; EDM; Mold repair & revisions,"22,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),$9M (calc from employees),~50,Privately held,null,Yes,,Yes,,,Mich,No,
Krieger Craftsmen,CY,CY,http://www.kriegercraftsmen.com,kriegercraftsmen.com,AMBA,2758 3 Mile Rd NW,Grand Rapids,MI,49534,(616) 735-9200,Automotive; Aerospace; Consumer products,Injection molds; Precision tooling; CNC machining & EDM; Mold repair,"30,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),$13M (calc from employees),~70,Family-owned,null,Yes,,Yes,Yes,,Mich,No,
Legacy Precision Molds,CY,CY,http://www.legacyprecisionmolds.com,legacyprecisionmolds.com,AMBA,3691 S. Lapeer Road,Metamora,MI,48455,(616) 532-6536,Automotive; Medical; Consumer products,Injection mold design/build; CNC machining; EDM; Mold repair & maintenance,"20,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),$9M (calc from employees),~30,Privately held,null,Yes,,Yes,,,Mich,Yes,
Liberty Molds,CY,CY,http://www.libertymolds.com,libertymolds.com,AMBA,8631 Portage Industrial Drive,Portage,MI,49024,(269) 327-0997,Automotive; Industrial; Consumer goods,Injection molds; CNC machining; EDM; Mold repair & engineering changes,"25,000 (site)",~50 (site); ~55 (public: LinkedIn 2024),$11M (calc from employees),47,Family-owned,null,Yes,,Yes,Yes,,Mich,No,
MC Molds,CY,CY,http://www.mcmolds.com,mcmolds.com,AMBA,845 Progress Court,Williamston,MI,48895,(517) 655-5481,Packaging; Consumer products; Automotive,Injection mold design/build; CNC machining & EDM; Prototype molds; Mold repair & maintenance,"22,000",~45 (site); ~50 (public: LinkedIn 2024),~$10M (calc from employees),1980s,Privately held,null,Yes,,Yes,,,Mich,,
Maximum Mold Group,CY,CY,http://www.maximummoldgroup.com,maximummoldgroup.com,AMBA,"4659 14th Street, Detroit,",Detroit,MI,48208,(313) 894-6653,Automotive; Industrial; Consumer goods,Large injection molds; Tool design & engineering; CNC machining & EDM; Mold validation & tryouts; Mold repair & revisions,"150,000",~200 (site); ~210 (public: LinkedIn 2024),~$70M (public: ZoomInfo 2024),1996,Privately held,null,Yes,,Yes,,,No Region,,
Clarion Technologies (Concept Molds),CY,CY,http://www.conceptmolds.com,conceptmolds.com,AMBA,3494 Busch Drive SW,Grandville,MI,49418,(616) 698-7277,Automotive; Consumer products; Medical,Injection mold design/build; CNC machining; EDM; Mold repair & revisions,"20,000",~35 (site); ~40 (public: LinkedIn 2024),~$8M (calc from employees),1990s,Privately held,null,Yes,,Yes,,,Mich,,
Midwest Die Corporation,CY,CY,http://www.midwestdiecorp.net,midwestdiecorp.net,AMBA,9220 1st St,Baroda,MI,49101,(269) 422-2171,Automotive; Appliance; Industrial,Injection molds; Die cast dies; CNC machining; EDM; Tooling repair,"90,000",~120 (site); ~130 (public: LinkedIn 2024),~$30M (calc from employees),1970s,Privately held,null,Yes,,Yes,,,Mich,,
"Model Die & Mold, Inc.",CY,CY,http://www.modeldie.com,modeldie.com,AMBA,3859 Roger B Chaffee Memorial Dr SE,Wyoming,MI,49548,(616) 243-6996,Automotive; Consumer goods; Medical,Injection mold design/build; CNC machining & EDM; Mold validation & sampling; Tooling repair & revisions,"80,000",~100 (site); ~110 (public: LinkedIn 2024),~$25M (calc from employees),1976,Privately held,null,Yes,,Yes,,,Mich,,
Paragon D&E,CY,CY,http://www.paragonde.com,paragonde.com,AMBA,5225 33rd St. SE,Grand Rapids,MI,49512,(616) 949-2220,Automotive; Aerospace; Defense; Energy,Large injection molds; Die cast dies; Tool design & engineering; Mold validation; Tooling repair,"200,000",~250 (site); ~260 (public: LinkedIn 2024),~$100M (public: ZoomInfo 2024),1942,Family-owned,null,Yes,,Yes,Yes,,Mich,,
"Precision Tool & Mold, LLC",CY,CY,http://www.precisionmoldusa.com,precisionmoldusa.com,AMBA,620 Easy Street,Ironwood,MI,49938,(906) 932-3440,Automotive; Industrial; Consumer products,Plastic injection molds; CNC machining; EDM; Mold repair,"25,000",~45 (site); ~50 (public: LinkedIn 2024),~$9M (calc from employees),1980s,Privately held,null,Yes,,Yes,,,No Region,,
Quality Molds,C?,C?,http://www.quality-molds.com,quality-molds.com,AMBA,3450 West 168th Street,Cleveland,OH,44111,(216) 671-6150,Automotive; Consumer goods; Medical,Injection molds; CNC machining; EDM; Mold repair,"20,000",~40 (site); ~45 (public: LinkedIn 2024),~$8M (calc from employees),1970s,Privately held,null,Yes,,Yes,,,No Region,,
"Select Tool & Die, Inc.",CY,CY,http://www.select-tool.com,select-tool.com,AMBA,9170 First St.,Baroda,MI,49101,(269) 422-2812,Automotive; Aerospace; Consumer products,Plastic injection molds; Tool design & engineering; Automation & fixtures; CNC machining; Mold validation,"175,000",~220 (site); ~230 (public: LinkedIn 2024),~$80M (public: ZoomInfo 2024),,Privately held,null,Yes,,Yes,,,Mich,,
SyBridge Technologies (Action Mold),CY,CY,http://www.actionmold.net,actionmold.net,AMBA,265 Spring Lake Drive,Itasca,IL,60143,(833) 824-1116,Automotive; Medical; Consumer goods,Plastic injection molds; CNC machining; EDM; Mold repair & maintenance; Sampling & validation,"35,000",~70 (site); ~75 (public: LinkedIn 2024),~$14M (calc from employees),1990s,Family-owned,null,Yes,,Yes,Yes,,Mich,,
"TK Mold & Engineering, Inc.",CY,CY,http://www.tkmoldeng.com,tkmoldeng.com,AMBA,131 Shafer Dr.,Romeo,MI,48065,(586) 752-5840,Medical; Automotive; Electronics; Consumer goods,Plastic injection mold design/build; Precision machining & EDM; Mold repair & engineering changes; Mold sampling & validation,"28,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),~$12M (calc from employees),~43,Privately held,null,Yes,,Yes,,,Minn,Yes,
Venture Global Engineering,CY,CY,http://www.ventureglobalengineering.com,ventureglobalengineering.com,AMBA,42500 Mound Rd,Sterling Heights,MI,48314,(586) 739-9542,Automotive; Consumer products; Industrial,Custom injection molds; Precision machining & EDM; Tool design; Mold repair & maintenance,"18,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),~$8M (calc from employees),~40,Privately held,null,Yes,,Yes,,,Ilin,No,
Viking Tool & Engineering,CY,CY,http://www.vikingtooleng.com,vikingtooleng.com,AMBA,2780 E Colby St,Whitehall,MI,49461,(231) 893-0031,Medical; Electronics; Automotive; Consumer goods,Plastic injection molds; Micro-molds; CNC machining & EDM; Tool design & validation; Repair & engineering changes,"40,000 (site)",~85 (site); ~90 (public: LinkedIn 2024),~$17M (calc from employees),~45,Family-owned,null,Yes,,Yes,Yes,,Minn,Yes,
"Zero Tolerance, LLC",CY,CY,http://www.zerotolerancecnc.com,zerotolerancecnc.com,AMBA,44695 Enterprise Drive,Clinton Township,MI,48038,(586) 630-3032,Packaging; Consumer products; Medical; Automotive,Plastic injection molds; Blow molds; Tooling design & engineering; Product development; Mold validation & repair,"120,000 (site)",~240 (site); ~250 (public: LinkedIn 2024),~$60M (public: ZoomInfo 2024),~49,Privately held,null,Yes,,Yes,,,No Region,Yes,
"BME Tool, Inc.",CY,CY,http://www.bmetool.biz,bmetool.biz,AMBA,101 Delaware St.,Lonsdale,MN,55046,(507) 744-5581,Medical; Automotive; Industrial; Consumer goods,Plastic injection molds; CNC machining; EDM; Mold repair & maintenance,"25,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),~$11M (calc from employees),~47,Privately held,null,Yes,,Yes,,,FR-Col,Yes,
Diamond Tool & Engineering,CY,CY,http://www.diamondtande.com,diamondtande.com,AMBA,205 2nd Ave NW,Bertha,MN,56437,(218) 924-4024,Medical; Consumer goods; Automotive,Plastic injection molds; Mold design & engineering; CNC machining; EDM; Mold validation & repair,"20,000 (site)",~40 (site); ~42 (public: LinkedIn 2024),~$8.5M (calc from employees),~35,Privately held,null,Yes,,Yes,,,Ilin,Yes,
"Dynamic Group, Inc.",CY,CY,http://www.dynamicgroup.com,dynamicgroup.com,AMBA,2000 13911 Unity St. NW,Ramsey,MN,55303,(763) 780-8674,Automotive; Consumer products; Electronics; Medical,Plastic injection molds; CNC machining & EDM; Mold repair & engineering changes; Tool design & engineering,"35,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),~$14M (calc from employees),~40,Privately held,null,Yes,,Yes,,,RT-NC,Yes,
Excelsior Tool,C?,C?,http://www.excelsiortool.com,excelsiortool.com,AMBA,30351 Edison Road,New Carlisle,IN,46552,(574) 654-3181,Automotive; Aerospace; Consumer products,Plastic injection molds; Precision dies; CNC machining; EDM; Mold repair & revisions,"20,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),~$9.5M (calc from employees),~48,Family-owned,null,Yes,,Yes,Yes,,No Region,No,
Mo-Tech Corporation,CY,CY,http://www.mo-tech.com,mo-tech.com,AMBA,2920 Granada Ave N,Oakdale,MN,55128,(651) 770-1515,Automotive; Industrial; Consumer products,Plastic injection molds; Tool & die manufacturing; CNC machining & EDM; Mold repair,"15,000 (site)",~30 (site); ~35 (public: LinkedIn 2024),~$6M (calc from employees),~40,Privately held,null,Yes,,Yes,,,No Region,No,
Mold Craft,CY,CY,http://www.mold-craft.com,mold-craft.com,AMBA,11175 165th Street West,Lakeville,MN,55044,(651) 426-3216,Automotive; Medical; Consumer products,Custom injection molds; CNC machining & EDM; Mold repair & engineering changes; Tool design,"12,000 (site)",~25 (site); ~28 (public: LinkedIn 2024),~$5.5M (calc from employees),~56,Family-owned,null,Yes,,Yes,Yes,,No Region,Yes,
Mold-Tech Inc.,CY,CY,http://www.mold-techinc.com,mold-techinc.com,AMBA,5166 Barthel Industrial Drive NE,Albertville,MN,55301,(763) 497-7500,Medical; Automotive; Electronics; Consumer goods,Plastic injection mold design/build; Precision machining & EDM; Mold repair & engineering changes; Mold sampling & validation,"28,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),~$12M (calc from employees),~43,Privately held,null,Yes,,Yes,,,Minn,Yes,
Moldworks Inc.,C?,C?,http://www.moldworks.com,moldworks.com,AMBA,208 Maple Grove,Minnesota,MN,55369,(763) 493-3134,Automotive; Consumer products; Industrial,Custom injection molds; Precision machining & EDM; Tool design; Mold repair & maintenance,"18,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),~$8M (calc from employees),~40,Privately held,null,Yes,,Yes,,,Ilin,No,
"Tolerance Tool, LLC",CY,CY,http://www.tolerancetool.com,tolerancetool.com,AMBA,2263 McKnight Rd N.,Maplewood,MN,55109,(651) 770-5918,Medical; Electronics; Automotive; Consumer goods,Plastic injection molds; Micro-molds; CNC machining & EDM; Tool design & validation; Repair & engineering changes,"40,000 (site)",~85 (site); ~90 (public: LinkedIn 2024),~$17M (calc from employees),~45,Family-owned,null,Yes,,Yes,Yes,,Minn,Yes,
Adler / R&D Leverage US,CY,CY,http://www.rdleverage.com,rdleverage.com,AMBA,1008 SE Browning St.,Lee’s Summit,MO,64081,(415) 329-6877,Packaging; Consumer products; Medical; Automotive,Plastic injection molds; Blow molds; Tooling design & engineering; Product development; Mold validation & repair,"120,000 (site)",~240 (site); ~250 (public: LinkedIn 2024),~$60M (public: ZoomInfo 2024),~49,Privately held,null,Yes,,Yes,,,No Region,Yes,
Vector Tool & Engineering,CY,CY,http://www.vectortool.com,vectortool.com,AMBA,4208 E 135th St.,Grandview,MO,64030,(816) 966-1901,Medical; Automotive; Industrial; Consumer goods,Plastic injection molds; CNC machining; EDM; Mold repair & maintenance,"25,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),~$11M (calc from employees),~47,Privately held,null,Yes,,Yes,,,FR-Col,Yes,
Emerald Tool & Mold,CY,CY,http://www.emeraldtoolandmold.com,emeraldtoolandmold.com,AMBA,106 Furlong Industrial Drive,Kernersville,NC,27284,(336) 996-6445,Medical; Consumer goods; Automotive,Plastic injection molds; Mold design & engineering; CNC machining; EDM; Mold validation & repair,"20,000 (site)",~40 (site); ~42 (public: LinkedIn 2024),~$8.5M (calc from employees),~35,Privately held,null,Yes,,Yes,,,Ilin,Yes,
"Superior Tooling, Inc.",CY,,http://www.sti-nc.com,sti-nc.com,AMBA,2800 Superior Dr.,Wake Forest,NC,27587,(919) 570-9762,Automotive; Consumer products; Electronics; Medical,Plastic injection molds; CNC machining & EDM; Mold repair & engineering changes; Tool design & engineering,"35,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),~$14M (calc from employees),~40,Privately held,null,Yes,,Yes,,,RT-NC,Yes,
Dramco Tool Co. Inc.,CY,,http://www.dramcotool.com,dramcotool.com,AMBA,502 Claude Road,Grand Island,NE,68803,(308) 382-5251,Automotive; Aerospace; Consumer products,Plastic injection molds; Precision dies; CNC machining; EDM; Mold repair & revisions,"20,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),~$9.5M (calc from employees),~48,Family-owned,null,Yes,,Yes,Yes,,No Region,No,
"L & Z Tool and Engineering, Inc.",CY,,http://www.lztool.com,lztool.com,AMBA,1691 US Highway 22,Watchung,NJ,07069-6595,(908) 322-2220,Automotive; Industrial; Consumer products,Plastic injection molds; Tool & die manufacturing; CNC machining & EDM; Mold repair,"15,000 (site)",~30 (site); ~35 (public: LinkedIn 2024),~$6M (calc from employees),~40,Privately held,null,Yes,,Yes,,,No Region,No,
Lawrence Mold & Tool Corp.,CY,,http://www.lawrencemoldandtool.com,lawrencemoldandtool.com,AMBA,690 Puritan Ave,Lawrence Township,NJ,8648,(609) 392-5422,Automotive; Medical; Consumer products,Custom injection molds; CNC machining & EDM; Mold repair & engineering changes; Tool design,"12,000 (site)",~25 (site); ~28 (public: LinkedIn 2024),~$5.5M (calc from employees),~56,Family-owned,null,Yes,,Yes,Yes,,No Region,Yes,
Natech Plastics (Thal Precision),CN,,http://www.thalprecision.com,thalprecision.com,AMBA,3506 85 Remington Blvd,Ronkonkoma,NY,11779,(631) 580-3506,Medical; Automotive; Aerospace; Consumer products,Precision mold components; CNC machining & EDM; Custom injection molds; Mold repair & modifications,"18,000",~35 (site); ~40 (public: LinkedIn 2024),~$7.5M (calc from employees),Founded 1966,Privately held,null,Yes,,Yes,,,Midwest,Yes,
High Desert Tool,CY,,http://www.highdeserttool.com,highdeserttool.com,AMBA,2500 Arrowhead Dr.#5,Carson City,NV,89706,(775) 882-2701,Automotive; Consumer products; Aerospace; Medical,Custom injection molds; Precision machining & EDM; Mold maintenance and repair; Tooling components,"15,000",~25 (site); ~28 (public: LinkedIn 2024),~$5.5M (calc from employees),Founded 1998,Family-owned,null,Yes,,Yes,Yes,,West,Yes,
"Accede Mold & Tool Co., Inc.",CY,,https://accedemold.com,accedemold.com,AMBA,1125 Lexington Avenue,Rochester,NY,14606,(585) 254-6490,Medical; Packaging; Consumer products; Automotive,"Precision plastic injection molds; Complex mold systems (multi-shot, stack, unscrewing); Engineering & mold design; CNC machining & EDM; Mold validation & testing","60,000",~100 (site); ~110 (public: LinkedIn 2024),~$22M (calc from employees),Founded 1981,Family-owned,null,Yes,Yes,Yes,Yes,,Northeast,Yes,
Atalys,CY,,http://www.atalys.com,atalys.com,AMBA,1667 Emerson Street,Rochester,NY,14606,(585) 647-2300,Automotive; Consumer products; Industrial; Medical,Injection mold design & build; CNC machining; EDM; Mold repair & revisions,"12,000",~20 (site); ~22 (public: LinkedIn 2024),~$4.2M (calc from employees),,Privately held,null,Yes,,Yes,,,West,Yes,
"Turning Point Tool, LLC",CY,,http://www.turningpointtool.com,turningpointtool.com,AMBA,135 Dodge Street,Rochester,NY,14606,(585) 288-7380,Automotive; Consumer products; Electronics,Injection molds; Precision machining; CNC & EDM; Tool maintenance and repair,"14,000",~25 (site); ~30 (public: LinkedIn 2024),~$6M (calc from employees),,Privately held,null,Yes,,Yes,,,Northeast,No,
BMG (Brown Machine Group / Freeman Company),CY,,http://www.freemancompany.com,freemancompany.com,AMBA,330 N. Ross Street,Beaverton,MI,48612,(989) 435-7741,Tool & die; Moldmaking; Aerospace; Automotive; Consumer products,Mold-making supplies; Tooling components; Machining equipment; Prototyping materials,"100,000+ (combined sites)",~200 (public: LinkedIn 2024),~$40M (public: ZoomInfo 2024),Founded 1902,Family-owned,null,,,,Yes,,Northeast,No,
Colonial Machine,CY,,http://www.colonial-machine.com,colonial-machine.com,AMBA,5859 Mogadore Road,Kent,OH,44240,(330) 673-5859,Packaging; Consumer goods; Automotive,Blow molds; Plastic injection molds; Precision machining; CNC & EDM; Tooling repair,"45,000",~65 (site); ~70 (public: LinkedIn 2024),~$14M (calc from employees),Founded 1931,Family-owned,null,Yes,,Yes,Yes,,Midwest,No,
"Cosar Mold, Inc.",CY,,http://www.cosarmold.com,cosarmold.com,AMBA,PO Box 159,Kent,OH,44240,(330) 673-9510,Automotive; Consumer goods; Medical,Plastic injection molds; Precision machining; CNC & EDM; Tool design; Mold repair & maintenance,"18,000",~35 (site); ~38 (public: LinkedIn 2024),~$7.2M (calc from employees),Founded 1979,Privately held,null,Yes,,Yes,,,Northeast,Yes,
"Eagle Mold Co., Inc.",CY,,http://www.eaglemoldcompany.com,eaglemoldcompany.com,AMBA,1 Eagle Ct,Carlisle,OH,45005,(937) 746-3331,Medical; Automotive; Consumer products; Electronics,Plastic injection molds; CNC machining; EDM; Mold validation & testing; Maintenance & repair,"25,000",~45 (site); ~50 (public: LinkedIn 2024),~$10M (calc from employees),Founded 1984,Privately held,null,Yes,,Yes,,,Midwest,Yes,
The Minco Group (Minco Tool & Mold + ASPM),CY,,http://www.mincogroup.com,mincogroup.com,AMBA,5690 Webster Street,Dayton,OH,45414,(937) 890-7905,Automotive; Consumer products; Aerospace; Industrial,Plastic injection molds; Precision machining; Contract manufacturing; Tool design & engineering; Mold repair & maintenance,"150,000",~350 (site); ~370 (public: LinkedIn 2024),~$90M (public: ZoomInfo 2024),Founded 1954,Privately held,null,Yes,Yes,Yes,,,Midwest,No,
Penco Tool LLC,CY,,http://www.pencotool.com,pencotool.com,AMBA,13760 Main Street,Bath,MI,48808,(440) 998-1116,Automotive; Consumer goods; Electronics,Injection mold design & build; CNC machining & EDM; Mold repair and revisions; Tooling support,"30,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),~$12M (calc from employees),54,Privately held,null,Yes,,Yes,No,,No Region,No,
"Pleasant Precision, Inc. (PPI)",CY,,http://www.pleasantprecision.com,pleasantprecision.com,AMBA,501 West Vine Street,Kenton,OH,43326,(800) 860-3974,Automotive; Medical; Consumer products,Plastic injection molds; High-cavitation tooling; Automation & robotics integration; CNC machining & EDM; Mold repair & maintenance,"45,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),~$15M (calc from employees),49,Family-owned,null,Yes,,Yes,Yes,,No Region,Yes,
"Tetra Mold & Tool, Inc.",CY,,http://www.tetramold.com,tetramold.com,AMBA,301 West Main Street,Saegertown,PA,16443,(814) 763-3211,Automotive; Packaging; Consumer products,Injection mold design/build; CNC machining; EDM; Mold sampling & validation; Mold maintenance,"38,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),~$13M (calc from employees),49,Privately held,null,Yes,,Yes,No,,No Region,No,
TJAR Innovations LLC,CY,,http://www.tjarinnovations.com,tjarinnovations.com,AMBA,1004 Cincinnati Ave,Xenia,OH,45385,(937) 347-1999,Automotive; Medical; Consumer products,Injection molds; Precision machining; CNC & EDM; Mold repair & revisions; Tooling support,"12,000 (site)",~20 (site); ~22 (public: LinkedIn 2024),~$4.5M (calc from employees),,Privately held,null,Yes,,Yes,No,,No Region,Yes,
"Buss Precision Mold, Inc.",CY,,http://www.bussmold.com,bussmold.com,AMBA,13581 SE Ambler Road,Clackamas,OR,97015,(503) 652-5804,Automotive; Consumer products; Packaging,Plastic injection molds; CNC machining; EDM services; Mold maintenance & repair,"22,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),~$9M (calc from employees),,Privately held,null,Yes,,Yes,No,,No Region,No,
"Crescent Industries, Inc.",CY,,http://www.crescentind.com,crescentind.com,AMBA,70 East High Street,New Freedom,PA,17349,(717) 928-8291,Medical; Aerospace; Consumer goods; Industrial,Injection mold design & build; Custom plastic molding; Medical device manufacturing; CNC machining; Mold validation & repair,"80,000 (site)",~140 (site); ~150 (public: LinkedIn 2024),~$30M (public: ZoomInfo 2024),79,Employee-owned ESOP,null,Yes,,Yes,Yes,,No Region,Yes,
PRISM Plastics (Meadville Plant),CN,,http://www.prismplastics.com/meadville,prismplastics.com,AMBA,1045 French Street,Meadville,PA,16335,(810) 292-6300,Automotive; Consumer electronics; Industrial,Mold design & engineering; Precision injection molding; High-cavitation tooling; Secondary operations,"90,000 (site)","~200 (Prism total, public: LinkedIn 2024)","~$40M (Prism Plastics, public 2024)",,Acquired by Altus Capital Partners (2014),null,Yes,,Yes,No,,W.Pa,No,
"Quality Mold, Inc.",CY,,http://www.qualitymolderie.com,qualitymolderie.com,AMBA,8130 Hawthorne Drive,Erie,PA,16509,(814) 866-2255,Medical; Automotive; Industrial,Plastic injection molds; CNC machining; EDM services; Mold validation & repair,"28,000 (site)",~50 (site); ~55 (public: LinkedIn 2024),~$11M (calc from employees),,Privately held,null,Yes,,Yes,No,,W.Pa,Yes,
